year,actor,movie,winner,ethnicity
1994,Johnny Depp,Ed Wood,False,"['English', 'Irish', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Welsh', 'French', 'FrenchCanadian', 'Dutch', 'Flemish', 'Belgian', 'German', 'African']"
1994,Arnold Schwarzenegger,Junior,False,['Austrian']
1994,Terence Stamp,"The Adventures of Priscilla, Queen of the Desert",False,"['English', 'French', 'German']"
1995,John Travolta,Get Shorty,True,"['ItalianSicilian50', 'Irish']"
1995,Michael Douglas,The American President,False,"['Ashkenazi', 'Jewish', 'English', 'Irish', 'Welsh', 'Dutch', 'Scottish', 'Belgian', 'French']"
1995,Harrison Ford,Sabrina,False,"['Irish', 'German', 'Ashkenazi', 'Jewish']"
1995,Steve Martin,Father of the Bride Part II,False,"['English', 'Scottish', 'Irish', 'ScotsIrishNorthern', 'Irish', 'German', 'French', 'Welsh']"
1995,Patrick Swayze,"To Wong Foo, Thanks for Everything! Julie Newmar",False,"['English', 'Irish', 'Scottish', 'Dutch']"
1996,Tom Cruise,Jerry Maguire,True,"['German4375', 'Irish125', 'English', 'Welsh']"
1996,Antonio Banderas,Evita,False,['Spanish']
1996,Kevin Costner,Tin Cup,False,"['English', 'German', 'SwissGerman', 'Scottish', 'Welsh', 'Irish', 'ScotsIrishNorthern', 'Irish']"
1996,Nathan Lane,The Birdcage,False,['Irish']
1996,Eddie Murphy,The Nutty Professor,False,['AfricanAmerican']
1997,Jack Nicholson,As Good as It Gets,True,"['Irish', 'Scottish', 'English', 'Pennsylvania', 'DutchGerman', 'Welshbiological', 'Italian', 'Latvian', 'Ashkenazi', 'Jewish', 'Baltic', 'German']"
1997,Jim Carrey,Liar Liar,False,"['FrenchCanadian', 'English', 'Scottish', 'Irish']"
1997,Dustin Hoffman,Wag the Dog,False,"['Ashkenazi', 'Jewish']"
1997,Samuel L. Jackson,Jackie Brown,False,"['AfricanAmerican', 'English']"
1997,Kevin Kline,In & Out,False,"['Jewish', 'Irish']"
1998,Michael Caine,Little Voice,True,"['English', 'Irish']"
1998,Antonio Banderas,The Mask of Zorro,False,['Spanish']
1998,Warren Beatty,Bulworth,False,"['English', 'Scottish', 'Irish', 'French', 'Danish', 'Dutch']"
1998,John Travolta,Primary Colors,False,"['ItalianSicilian50', 'Irish']"
1998,Robin Williams,Patch Adams,False,"['English', 'Welsh', 'Irish', 'Scottish', 'German', 'French']"
1999,Jim Carrey,Man on the Moon,True,"['FrenchCanadian', 'English', 'Scottish', 'Irish']"
1999,Robert De Niro,Analyze This,False,"['Italian', 'Irish', 'German', 'Dutch', 'English', 'French', 'Huguenot', 'Scottish', 'ScotsIrishNorthern', 'Irish']"
1999,Rupert Everett,An Ideal Husband,False,"['Scottish', 'Irish', 'English', 'Cornish', 'German', 'Dutch']"
1999,Hugh Grant,Notting Hill,False,"['Scottish', 'English', 'Irish', 'Welsh', 'Cornish', 'Dutch', 'AfrikanerFrenchBelgian', 'Walloon']"
1999,Sean Penn,Sweet and Lowdown,False,"['Jewish', 'Italian', 'Irish']"
2000,George Clooney,"O Brother, Where Art Thou?",True,"['Irish', 'English', 'German', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Welsh', 'French', 'Huguenot', 'Dutch']"
2000,Jim Carrey,How the Grinch Stole Christmas,False,"['FrenchCanadian', 'English', 'Scottish', 'Irish']"
2000,John Cusack,High Fidelity,False,['Irish']
2000,Robert De Niro,Meet the Parents,False,"['Italian', 'Irish', 'German', 'Dutch', 'English', 'French', 'Huguenot', 'Scottish', 'ScotsIrishNorthern', 'Irish']"
2000,Mel Gibson,What Women Want,False,"['Irish125', 'English', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Welsh']"
2001,Gene Hackman,The Royal Tenenbaums,True,"['English', 'German', 'Scottish', 'Dutch']"
2001,Hugh Jackman,Kate & Leopold,False,"['English25', 'Scottish125', 'Greek']"
2001,Ewan McGregor,Moulin Rouge!,False,"['Scottish', 'German']"
2001,John Cameron Mitchell,Hedwig and the Angry Inch,False,[]
2001,Billy Bob Thornton,Bandits,False,"['English', 'Scottish', 'Irish']"
2002,Richard Gere,Chicago,True,"['English', 'ScotsIrishNorthern', 'Irish', 'Welsh', 'Dutch', 'Scottish', 'German', 'French']"
2002,Nicolas Cage,Adaptation.,False,"['Italian25', 'Polish1875', 'German625', 'British', 'Isles', 'English', 'Scottish']"
2002,Kieran Culkin,Igby Goes Down,False,"['German', 'English', 'SwissGerman25', 'Norwegian125', 'Irish625', 'SwissFrench']"
2002,Hugh Grant,About a Boy,False,"['Scottish', 'English', 'Irish', 'Welsh', 'Cornish', 'Dutch', 'AfrikanerFrenchBelgian', 'Walloon']"
2002,Adam Sandler,Punch-Drunk Love,False,"['Ashkenazi', 'Jewish']"
2003,Bill Murray,Lost in Translation,True,['Irish']
2003,Jack Black,School of Rock,False,"['German', 'Northern', 'Irish', 'Scottish', 'English', 'French', 'Welsh', 'Judaism', 'Ashkenazi', 'Jewish']"
2003,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl,False,"['English', 'Irish', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Welsh', 'French', 'FrenchCanadian', 'Dutch', 'Flemish', 'Belgian', 'German', 'African']"
2003,Jack Nicholson,Something's Gotta Give,False,"['Irish', 'Scottish', 'English', 'Pennsylvania', 'DutchGerman', 'Welshbiological', 'Italian', 'Latvian', 'Ashkenazi', 'Jewish', 'Baltic', 'German']"
2003,Billy Bob Thornton,Bad Santa,False,"['English', 'Scottish', 'Irish']"
2004,Jamie Foxx,Ray,True,['AfricanAmerican']
2004,Jim Carrey,Eternal Sunshine of the Spotless Mind,False,"['FrenchCanadian', 'English', 'Scottish', 'Irish']"
2004,Paul Giamatti,Sideways,False,"['Italian', 'German', 'English', 'Dutch', 'Irish', 'Scottish', 'French']"
2004,Kevin Kline,De-Lovely,False,"['Jewish', 'Irish']"
2004,Kevin Spacey,Beyond the Sea,False,"['Swedish', 'English', 'Welsh']"
2005,Joaquin Phoenix,Walk the Line,True,"['English', 'Scottish', 'ScotsIrishNorthern', 'Irish', 'German', 'Irish', 'Welsh', 'French', 'Huguenot', 'Ashkenazi', 'Jewish']"
2005,Pierce Brosnan,The Matador,False,['Irish']
2005,Jeff Daniels,The Squid and the Whale,False,"['English', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'German']"
2005,Johnny Depp,Charlie and the Chocolate Factory,False,"['English', 'Irish', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Welsh', 'French', 'FrenchCanadian', 'Dutch', 'Flemish', 'Belgian', 'German', 'African']"
2005,Nathan Lane,The Producers,False,['Irish']
2005,Cillian Murphy,Breakfast on Pluto,False,['Irish']
2006,Sacha Baron Cohen,Borat,True,"['Ashkenazi', 'Jewish']"
2006,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest,False,"['English', 'Irish', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Welsh', 'French', 'FrenchCanadian', 'Dutch', 'Flemish', 'Belgian', 'German', 'African']"
2006,Aaron Eckhart,Thank You for Smoking,False,"['German', 'German', 'English', 'Scottish', 'Northern', 'Irish']"
2006,Chiwetel Ejiofor,Kinky Boots,False,"['Igbo', 'Nigerian']"
2006,Will Ferrell,Stranger than Fiction,False,"['English', 'Irish', 'German', 'Welsh']"
2007,Johnny Depp,Sweeney Todd: The Demon Barber of Fleet Street,True,"['English', 'Irish', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Welsh', 'French', 'FrenchCanadian', 'Dutch', 'Flemish', 'Belgian', 'German', 'African']"
2007,Ryan Gosling,Lars and the Real Girl,False,"['FrenchCanadian', 'English', 'Scottish', 'Irish', 'German', 'AfricanAmerican']"
2007,Tom Hanks,Charlie Wilson's War,False,"['English', 'Cornish', 'German', 'Scottish', 'Welsh', 'Portuguese']"
2007,Philip Seymour Hoffman,The Savages,False,"['Irish', 'English', 'German', 'Dutch', 'Polish']"
2007,John C. Reilly,Walk Hard: The Dewey Cox Story,False,"['Lithuanian375', 'Irish625', 'German3125', 'FrenchCanadian3125', 'Scottish']"
2008,Colin Farrell,In Bruges,True,['Irish']
2008,Javier Bardem,Vicky Cristina Barcelona,False,"['Spanish', 'Castilian', 'Leónese', 'Basque', 'Catalan', 'British', 'Isles', 'Irish', 'English']"
2008,James Franco,Pineapple Express,False,"['Swedish', 'Ashkenazi', 'Jewish']"
2008,Brendan Gleeson,In Bruges,False,['Irish']
2008,Dustin Hoffman,Last Chance Harvey,False,"['Ashkenazi', 'Jewish']"
2009,Robert Downey Jr.,Sherlock Holmes,True,"['Ashkenazi', 'Jewish', 'English', 'Scottish', 'German', 'SwissGerman', 'Irish']"
2009,Matt Damon,The Informant!,False,"['Scottish', 'Welsh', 'Finnish', 'Swedish', 'Norwegian']"
2009,Daniel Day-Lewis,Nine,False,"['English', 'Northern', 'Irish', 'Welsh', 'Ashkenazi', 'Jewish']"
2009,Joseph Gordon-Levitt,(500) Days of Summer,False,"['Ashkenazi', 'Jewish']"
