The Shadow of Silk Lennox,"['Lon Chaney Jr.', ' Jack Mulhall']"
Shanghai,"['Loretta Young', ' Charles Boyer', ' Warner Oland']"
She,"['Helen Gahagan', ' Randolph Scott', ' Nigel Bruce']"
She Couldn't Take It,"['Joan Bennett', ' Walter Connolly', ' Wallace Ford']"
She Gets Her Man,"['Ward Bond', ' ZaSu Pitts', ' Lucien Littlefield']"
She Married Her Boss,"['Claudette Colbert', ' Melvyn Douglas', ' Jean Dixon']"
Ship Cafe,"['Carl Brisson', ' Arline Judge', ' Mady Christians']"
Shipmates Forever,"['Dick Powell', ' Ruby Keeler']"
A Shot in the Dark,"['Charles Starrett', ' Marion Shilling']"
Show Them No Mercy!,"['Rochelle Hudson', ' Cesar Romero']"
Silk Hat Kid,"['Lew Ayres', ' Mae Clarke']"
Silent Valley,"['Tom Tyler', ' Al Bridge']"
The Silver Bullet,"['Tom Tyler', ' Jayne Regan']"
The Singing Vagabond,"['Gene Autry', ' Ann Rutherford']"
Smart Girl,"['Ida Lupino', ' Kent Taylor', ' Joseph Cawthorn']"
So Red the Rose,"['Walter Connolly', ' Margaret Sullavan', ' Randolph Scott']"
Social Error,"['Gertrude Messinger', ' Monte Blue']"
Society Doctor,"['Robert Taylor', ' Virginia Bruce']"
Society Fever,"['Lois Wilson', ' Guinn Williams', ' Hedda Hopper']"
The Spanish Cape Mystery,"['Donald Cook', ' Helen Twelvetrees']"
Special Agent,"['Bette Davis', ' Ricardo Cortez', ' George Brent']"
Speed Limited,"['Ralph Graves', ' Evelyn Brent']"
Splendor,"['Miriam Hopkins', ' Joel McCrea', ' Helen Westley']"
Spring Tonic,"['Lew Ayres', ' Claire Trevor']"
Square Shooter,"['Tim McCoy', ' Jacqueline Wells']"
Star of Midnight,"['William Powell', ' Ginger Rogers', ' Ward Bond']"
Stars Over Broadway,"[""Pat O'Brien"", ' James Melton', ' Jane Froman']"
Steamboat Round the Bend,"['Will Rogers', ' Anne Shirley', ' Eugene Pallette']"
Stolen Harmony,"['George Raft', ' Ben Bernie', ' Lloyd Nolan']"
Stone of Silver Creek,"['Buck Jones', ' Noel Francis']"
Storm Over the Andes,"['Gene Lockhart', ' Jack Holt', ' Antonio Moreno']"
Stormy,"['Noah Beery Jr.', ' Fred Kohler', ' J. Farrell MacDonald']"
Straight from the Heart,"['Mary Astor', ' Roger Pryor', ' Juanita Quigley']"
Stranded,"['George Brent', ' Kay Francis', ' Robert Barrat']"
Strangers All,"['May Robson', ' Preston Foster']"
